Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS09 - Login using data driven,Chrome 126.0.0.0,,,03-07-2024 15:40:19,03-07-2024 15:41:22,1m - 3.168s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open browser,Chrome 126.0.0.0,,,03-07-2024 15:40:19,03-07-2024 15:40:24,5.140s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 15:40:19,03-07-2024 15:40:21,1.816s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,03-07-2024 15:40:21,03-07-2024 15:40:24,3.087s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,Regression,03-07-2024 15:40:24,03-07-2024 15:40:30,5.745s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 15:40:24,03-07-2024 15:40:25,0.925s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,03-07-2024 15:40:25,03-07-2024 15:40:25,0.003s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:25,03-07-2024 15:40:26,0.510s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:26,03-07-2024 15:40:26,0.325s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:26,03-07-2024 15:40:27,0.857s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:27,03-07-2024 15:40:28,0.770s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 15:40:28,03-07-2024 15:40:29,0.976s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 15:40:29,03-07-2024 15:40:29,0.002s,PASSED
else,Chrome 126.0.0.0,,,03-07-2024 15:40:29,03-07-2024 15:40:30,1.175s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,Regression,03-07-2024 15:40:30,03-07-2024 15:40:34,3.636s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 15:40:30,03-07-2024 15:40:31,0.442s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,03-07-2024 15:40:31,03-07-2024 15:40:31,0.000s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:31,03-07-2024 15:40:31,0.313s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:31,03-07-2024 15:40:31,0.298s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:31,03-07-2024 15:40:32,0.612s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:32,03-07-2024 15:40:32,0.638s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 15:40:32,03-07-2024 15:40:33,0.940s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 15:40:33,03-07-2024 15:40:33,0.000s,PASSED
else,Chrome 126.0.0.0,,,03-07-2024 15:40:33,03-07-2024 15:40:34,0.369s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,Regression,03-07-2024 15:40:34,03-07-2024 15:40:38,3.963s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 15:40:34,03-07-2024 15:40:34,0.332s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,03-07-2024 15:40:34,03-07-2024 15:40:34,0.001s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:34,03-07-2024 15:40:34,0.347s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:34,03-07-2024 15:40:35,0.296s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:35,03-07-2024 15:40:35,0.744s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:35,03-07-2024 15:40:36,0.718s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 15:40:36,03-07-2024 15:40:37,0.959s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 15:40:37,03-07-2024 15:40:37,0.000s,PASSED
else,Chrome 126.0.0.0,,,03-07-2024 15:40:37,03-07-2024 15:40:38,0.540s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,Regression,03-07-2024 15:40:38,03-07-2024 15:40:42,4.562s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 15:40:38,03-07-2024 15:40:38,0.368s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,03-07-2024 15:40:38,03-07-2024 15:40:38,0.001s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:38,03-07-2024 15:40:38,0.338s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:38,03-07-2024 15:40:39,0.327s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:39,03-07-2024 15:40:40,0.925s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:40,03-07-2024 15:40:41,0.820s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 15:40:41,03-07-2024 15:40:42,1.319s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 15:40:42,03-07-2024 15:40:42,0.000s,PASSED
else,Chrome 126.0.0.0,,,03-07-2024 15:40:42,03-07-2024 15:40:42,0.428s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,Regression,03-07-2024 15:40:42,03-07-2024 15:41:19,36.579s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 15:40:42,03-07-2024 15:40:43,0.894s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,03-07-2024 15:40:43,03-07-2024 15:40:43,0.000s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:43,03-07-2024 15:40:44,0.404s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:44,03-07-2024 15:40:44,0.435s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,03-07-2024 15:40:44,03-07-2024 15:40:45,0.933s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,03-07-2024 15:40:45,03-07-2024 15:40:46,0.899s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 15:40:46,03-07-2024 15:40:47,1.240s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 15:40:47,03-07-2024 15:40:47,0.002s,PASSED
else,Chrome 126.0.0.0,,,03-07-2024 15:40:47,03-07-2024 15:41:19,31.721s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP03 - Logout,Chrome 126.0.0.0,,,03-07-2024 15:41:19,03-07-2024 15:41:22,3.286s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,03-07-2024 15:41:19,03-07-2024 15:41:20,0.420s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,03-07-2024 15:41:20,03-07-2024 15:41:20,0.515s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Logout""))",Chrome 126.0.0.0,,,03-07-2024 15:41:20,03-07-2024 15:41:22,1.498s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,03-07-2024 15:41:22,03-07-2024 15:41:22,0.478s,PASSED
